Exchange,Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
Nasdaq,FFBW,FFBW: Inc.,11.04,73002000,n/a,2017,Finance,Savings Institutions,https://www.nasdaq.com/symbol/ffbw
Nasdaq,FCSC,Fibrocell Science Inc.,2.1,19561462.2,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/fcsc
Nasdaq,FGEN,FibroGen: Inc,42.26,3591172647,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/fgen
Nasdaq,FDBC,Fidelity D & D Bancorp: Inc.,61.96,232474229.8,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/fdbc
Nasdaq,ONEQ,Fidelity Nasdaq Composite Index Tracking Stock,285.41,1515498559,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/oneq
Nasdaq,LION,Fidelity Southern Corporation,23.29,635122212.7,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/lion
Nasdaq,FDUS,Fidus Investment Corporation,14.1,344929977.9,n/a,2011,n/a,n/a,https://www.nasdaq.com/symbol/fdus
Nasdaq,FDUSL,Fidus Investment Corporation,25.1495,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/fdusl
Nasdaq,FRGI,Fiesta Restaurant Group: Inc.,18.61,507249829.6,n/a,n/a,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/frgi
Nasdaq,FITB,Fifth Third Bancorp,27.54,18055654147,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/fitb
Nasdaq,FITBI,Fifth Third Bancorp,26.65,479700000,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/fitbi
Nasdaq,FISI,Financial Institutions: Inc.,29.76,473926779.8,n/a,1999,Finance,Major Banks,https://www.nasdaq.com/symbol/fisi
Nasdaq,FNSR,Finisar Corporation,22.84,2681081782,n/a,1999,Technology,Semiconductors,https://www.nasdaq.com/symbol/fnsr
Nasdaq,FNJN,Finjan Holdings: Inc.,2.66,72469465.6,n/a,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/fnjn
Nasdaq,FTACU,FinTech Acquisition Corp. III,10.01,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/ftacu
